Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
19:17:7:14,1199.09,19,17,7,14,113.85,26.60,4.00,44.35,0,1,0,0,0,0,0,0,0,0,1,0,1,2,4,0,1,
19:17:7:15,1762.61,19,17,7,15,113.41,26.50,4.00,44.69,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,3,
19:17:9:8,1135.51,19,17,9,8,114.16,26.67,5.00,41.54,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,0,
18:15:7:13,1749.69,18,15,7,13,107.02,25.01,4.00,43.73,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,4,1,
18:15:7:14,1802.07,18,15,7,14,107.16,25.04,4.00,44.17,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,2,
19:17:9:7,1181.00,19,17,9,7,113.15,26.44,5.00,40.95,0,2,0,1,0,1,1,0,0,0,0,0,0,0,2,2,1,
18:15:7:15,1755.21,18,15,7,15,107.97,25.23,4.00,44.54,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,
18:15:7:16,1856.57,18,15,7,16,107.94,25.22,4.00,45.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,
19:17:9:9,1138.30,19,17,9,9,113.92,26.62,5.00,42.17,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,
18:15:7:17,1809.42,18,15,7,17,107.15,25.04,4.00,45.64,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,
19:17:9:4,1126.12,19,17,9,4,113.51,26.52,5.00,39.86,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,3,0,
19:17:9:3,1174.50,19,17,9,3,113.62,26.55,5.00,39.51,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,1,1,
18:15:7:18,2467.63,18,15,7,18,106.92,24.98,4.00,45.95,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,
18:15:7:19,2474.94,18,15,7,19,107.23,25.05,4.00,46.60,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,
19:17:9:6,1179.30,19,17,9,6,113.02,26.41,5.00,40.65,1,1,0,0,0,0,0,1,1,0,0,0,1,0,3,1,1,
19:17:9:5,1129.04,19,17,9,5,113.71,26.57,5.00,40.38,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,
16:11:11:6,2568.72,16,11,11,6,95.77,22.38,6.00,40.82,0,1,1,1,0,2,0,0,1,0,0,0,1,0,4,1,2,
16:11:11:8,2571.08,16,11,11,8,94.91,22.18,6.00,41.46,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,2,1,
19:18:7:3,1028.56,19,18,7,3,117.13,27.37,4.00,39.22,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,
16:11:11:9,2626.44,16,11,11,9,95.71,22.36,6.00,42.04,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,3,1,
18:15:7:10,1743.23,18,15,7,10,106.78,24.95,4.00,42.52,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,
19:18:7:2,1072.13,19,18,7,2,114.55,26.76,4.00,38.74,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,
19:18:7:1,1023.52,19,18,7,1,116.31,27.18,4.00,38.47,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,
18:15:7:11,1790.54,18,15,7,11,107.39,25.09,4.00,42.86,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,
18:15:7:12,1747.05,18,15,7,12,107.02,25.01,4.00,43.21,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,
19:17:7:20,1824.35,19,17,7,20,114.05,26.65,4.00,46.91,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,
17:15:7:4,1770.02,17,15,7,4,106.36,24.85,4.00,39.61,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,
17:15:7:2,1768.97,17,15,7,2,105.37,24.62,4.00,39.04,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,2,0,
15:12:9:20,3273.49,15,12,9,20,93.52,22.79,5.00,48.56,0,0,0,1,0,0,0,1,3,1,0,0,1,0,4,1,2,
17:15:7:9,1739.44,17,15,7,9,105.63,24.68,4.00,42.12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,
17:15:7:7,1733.26,17,15,7,7,105.77,24.71,4.00,41.05,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,
17:15:7:8,1736.18,17,15,7,8,105.51,24.65,4.00,41.50,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,
17:15:7:5,1728.98,17,15,7,5,105.37,24.62,4.00,40.32,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,
17:15:7:6,1733.33,17,15,7,6,105.90,24.74,4.00,40.81,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,
18:15:7:20,1865.62,18,15,7,20,107.19,25.04,4.00,46.87,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,
14:8:16:20,4161.29,14,8,16,20,84.62,19.77,8.00,48.61,0,1,1,1,0,2,0,0,1,0,2,0,1,1,5,2,3,
18:17:4:3,1679.33,18,17,4,3,111.93,26.15,3.00,39.30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,
17:14:7:6,1731.90,17,14,7,6,105.11,24.56,4.00,40.77,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,
17:14:7:7,1776.39,17,14,7,7,103.34,24.14,4.00,41.16,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,
17:14:7:8,1733.34,17,14,7,8,103.72,24.23,4.00,41.49,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,
18:17:4:5,1684.04,18,17,4,5,112.30,26.24,3.00,40.12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,
17:14:7:9,1736.81,17,14,7,9,103.72,24.23,4.00,42.19,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,
18:17:4:6,1687.54,18,17,4,6,112.57,26.30,3.00,40.52,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,
18:17:4:1,1068.47,18,17,4,1,112.50,26.29,3.00,38.65,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
18:17:4:8,1739.31,18,17,4,8,111.63,26.08,3.00,41.51,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,2,
17:14:7:4,1771.58,17,14,7,4,104.61,24.44,4.00,39.94,1,1,0,0,0,0,1,1,1,1,0,0,0,1,4,2,1,
18:17:4:9,1697.64,18,17,4,9,111.73,26.10,3.00,42.07,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,
17:14:7:5,1771.39,17,14,7,5,102.37,23.92,4.00,40.46,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,
17:13:9:7,1871.58,17,13,9,7,101.61,23.74,5.00,41.11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,
16:14:7:20,2523.11,16,14,7,20,99.52,23.88,4.00,47.76,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,
17:13:9:8,1829.66,17,13,9,8,101.21,23.65,5.00,41.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,
17:13:9:5,1819.43,17,13,9,5,102.12,23.86,5.00,40.15,1,0,0,1,1,0,0,3,1,0,0,0,0,0,4,2,1,
17:13:9:6,1871.21,17,13,9,6,101.26,23.66,5.00,40.77,1,0,0,0,1,0,0,1,1,1,0,0,0,0,2,2,1,
17:14:18:20,2934.42,17,14,18,20,103.16,24.10,9.00,50.62,0,5,0,0,0,1,2,0,0,1,0,0,0,0,4,1,4,
17:13:9:9,1929.13,17,13,9,9,101.93,23.82,5.00,41.85,0,0,1,1,1,0,0,1,0,0,0,0,1,0,3,1,1,
13:7:9:20,3913.27,13,7,9,20,81.12,18.95,5.00,48.21,0,1,0,1,0,0,0,2,1,0,1,0,0,0,2,0,4,
16:12:4:13,2398.78,16,12,4,13,98.24,22.95,3.00,43.85,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,
16:12:4:12,2396.20,16,12,4,12,99.11,23.16,3.00,43.37,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,
18:16:11:7,1224.65,18,16,11,7,108.52,25.36,6.00,41.12,0,1,0,0,1,0,1,0,1,1,1,0,0,0,2,3,1,
18:16:11:5,1224.01,18,16,11,5,110.58,25.84,6.00,40.35,1,1,0,1,0,1,1,0,0,0,0,0,0,1,3,2,1,
19:18:11:9,1188.98,19,18,11,9,115.37,26.96,6.00,41.86,0,0,0,0,1,0,0,1,1,0,1,0,1,1,2,4,0,
18:17:18:20,2287.28,18,17,18,20,112.80,26.35,9.00,50.02,0,5,0,0,0,1,2,0,0,1,0,0,0,0,4,1,4,
16:13:4:14,2404.45,16,13,4,14,100.25,23.42,3.00,44.40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,
19:17:7:2,1069.74,19,17,7,2,113.02,26.41,4.00,38.74,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,
19:17:7:1,1063.36,19,17,7,1,113.33,26.48,4.00,37.37,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
19:17:7:4,1076.09,19,17,7,4,113.85,26.60,4.00,39.75,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,
18:16:11:8,1228.38,18,16,11,8,109.60,25.61,6.00,41.53,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,3,0,
19:17:7:3,1073.22,19,17,7,3,113.74,26.58,4.00,39.21,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,
18:16:11:9,1232.74,18,16,11,9,110.40,25.80,6.00,42.15,1,1,0,0,2,0,0,0,1,1,0,1,1,0,4,2,2,
16:13:4:13,2398.93,16,13,4,13,99.42,23.23,3.00,43.72,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,
15:10:7:6,2462.39,15,10,7,6,90.45,21.13,4.00,40.59,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,
15:10:7:7,2466.95,15,10,7,7,91.52,21.38,4.00,41.17,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,
19:17:7:9,1137.57,19,17,7,9,113.66,26.56,4.00,42.10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,
19:17:7:6,1129.55,19,17,7,6,113.07,26.42,4.00,40.69,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,
19:17:7:5,1077.80,19,17,7,5,113.61,26.54,4.00,40.17,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,
19:17:7:8,1133.17,19,17,7,8,112.91,26.38,4.00,41.46,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,1,
19:17:7:7,1132.14,19,17,7,7,113.79,26.59,4.00,40.98,0,2,0,1,0,1,1,0,0,0,0,0,2,1,4,2,2,
15:11:9:20,2606.11,15,11,9,20,94.38,22.05,5.00,46.83,0,0,0,2,0,3,0,2,1,0,0,0,0,1,6,2,1,
17:14:11:7,1877.52,17,14,11,7,103.69,24.23,6.00,41.28,1,0,0,1,1,1,0,3,1,0,0,0,0,0,4,3,1,
17:14:11:8,1979.64,17,14,11,8,105.15,24.57,6.00,41.60,0,0,1,0,1,0,1,1,0,1,2,1,1,0,2,4,3,
17:14:11:9,1879.34,17,14,11,9,103.01,24.07,6.00,41.85,1,1,0,0,0,1,1,1,1,0,1,0,0,0,3,4,0,
17:15:4:19,2423.85,17,15,4,19,105.22,24.58,3.00,46.50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,
15:9:13:16,3342.97,15,9,13,16,89.14,20.83,7.00,45.40,2,2,0,0,1,0,1,0,1,0,0,0,1,0,3,3,2,
18:17:4:10,1700.56,18,17,4,10,111.47,26.04,3.00,42.52,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,
18:17:4:11,1747.32,18,17,4,11,111.71,26.10,3.00,42.74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,
18:17:4:12,1703.01,18,17,4,12,111.35,26.02,3.00,43.41,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,
18:17:4:13,1705.08,18,17,4,13,111.36,26.02,3.00,43.70,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,
18:17:4:14,1710.99,18,17,4,14,112.27,26.23,3.00,44.42,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,
18:17:4:15,1759.59,18,17,4,15,111.61,26.08,3.00,44.81,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,
18:17:4:16,1762.67,18,17,4,16,112.09,26.19,3.00,45.18,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,
18:17:4:17,2422.86,18,17,4,17,111.47,26.04,3.00,45.53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
18:17:4:18,2426.94,18,17,4,18,112.63,26.31,3.00,45.96,1,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,2,
18:17:4:19,2429.69,18,17,4,19,111.61,26.08,3.00,46.48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,
15:11:9:14,2540.26,15,11,9,14,93.60,21.87,5.00,44.40,2,0,0,0,0,1,1,1,0,0,2,0,0,0,2,2,3,
15:11:9:15,2542.14,15,11,9,15,94.28,22.03,5.00,44.53,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,4,
15:11:9:16,2593.76,15,11,9,16,93.18,21.77,5.00,45.05,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,2,
15:11:9:17,2597.22,15,11,9,17,94.31,22.04,5.00,45.56,0,1,0,2,0,0,0,0,1,0,0,1,1,0,3,0,3,
15:11:9:18,2603.18,15,11,9,18,94.38,22.05,5.00,46.25,0,0,0,2,0,3,0,2,1,0,0,0,0,1,6,2,1,
17:15:4:10,1742.09,17,15,4,10,106.25,24.83,3.00,42.45,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,
15:11:9:19,2551.91,15,11,9,19,94.39,22.05,5.00,46.41,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,3,
17:15:4:13,1749.29,17,15,4,13,106.66,24.92,3.00,43.77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,
17:15:4:11,2398.97,17,15,4,11,106.24,24.82,3.00,42.81,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,
15:9:13:20,2771.73,15,9,13,20,89.76,20.97,7.00,50.60,1,0,0,2,1,1,0,0,0,1,0,1,2,1,2,4,4,
17:15:4:12,2401.74,17,15,4,12,106.37,24.85,3.00,43.19,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,
17:15:4:17,2417.46,17,15,4,17,105.98,24.76,3.00,45.49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,
15:11:9:10,2527.56,15,11,9,10,93.66,21.88,5.00,42.62,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,
15:11:9:11,2529.31,15,11,9,11,93.06,21.74,5.00,43.02,0,0,0,1,0,0,1,0,2,1,0,0,0,0,2,0,3,
15:11:11:20,2656.48,15,11,11,20,94.54,22.09,6.00,47.14,1,1,0,0,1,0,2,0,1,0,0,1,0,0,3,1,3,
17:15:4:18,2421.74,17,15,4,18,106.17,24.81,3.00,46.07,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,
17:15:4:15,2411.73,17,15,4,15,106.61,24.91,3.00,44.59,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,
15:11:9:12,3241.64,15,11,9,12,94.45,22.07,5.00,43.55,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,1,1,
15:11:9:13,2537.94,15,11,9,13,93.73,21.90,5.00,43.90,2,0,0,0,0,1,1,1,0,0,2,0,0,0,2,2,3,
19:19:4:19,1779.24,19,19,4,19,117.97,27.56,3.00,46.75,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,3,
17:15:16:12,2040.03,17,15,16,12,106.26,24.83,8.00,43.33,1,1,1,0,0,0,0,2,0,1,1,1,1,1,3,2,5,
19:19:4:15,1719.48,19,19,4,15,118.06,27.58,3.00,44.68,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,
20:19:9:6,1139.58,20,19,9,6,119.90,28.01,5.00,40.56,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,
20:19:9:5,1087.71,20,19,9,5,119.14,27.84,5.00,40.43,1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,6,1,
19:19:4:16,1721.20,19,19,4,16,118.38,27.66,3.00,45.02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,
19:19:4:13,1103.26,19,19,4,13,118.64,27.72,3.00,43.69,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,
20:19:9:4,1133.61,20,19,9,4,119.07,27.82,5.00,39.63,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,
19:19:4:14,1717.02,19,19,4,14,118.02,27.57,3.00,44.21,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,
20:19:9:3,1083.86,20,19,9,3,119.92,28.02,5.00,39.42,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,
19:19:4:11,1098.77,19,19,4,11,117.47,27.45,3.00,43.16,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,1,2,
19:19:4:12,1101.78,19,19,4,12,118.89,27.78,3.00,43.32,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,
19:19:4:10,1704.08,19,19,4,10,117.89,27.54,3.00,42.35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,
17:15:16:19,2107.92,17,15,16,19,105.78,24.72,8.00,46.71,2,2,1,1,0,0,1,0,1,0,0,0,0,0,1,4,3,
17:15:16:18,2153.70,17,15,16,18,105.69,24.69,8.00,46.11,0,5,0,1,0,1,2,0,0,0,0,0,0,0,3,2,4,
17:15:16:17,2102.25,17,15,16,17,106.09,24.79,8.00,45.74,1,1,1,0,0,0,0,3,0,1,1,0,1,1,4,2,4,
18:16:13:10,1384.91,18,16,13,10,110.64,25.85,7.00,42.51,0,5,0,0,0,1,2,0,0,0,0,0,0,0,3,1,4,
19:18:20:20,1530.14,19,18,20,20,117.24,27.39,10.00,49.50,1,0,1,1,1,1,0,0,0,1,0,1,2,1,2,5,3,
18:16:13:11,1992.38,18,16,13,11,108.74,25.41,7.00,42.74,1,1,0,1,0,0,1,0,0,1,1,1,0,0,3,3,1,
18:16:13:18,2013.00,18,16,13,18,110.88,25.91,7.00,46.03,1,0,1,0,1,0,0,0,1,0,1,2,2,0,3,4,2,
18:16:13:17,1450.33,18,16,13,17,110.51,25.82,7.00,45.64,0,1,1,1,0,1,0,0,1,0,1,0,1,0,5,1,1,
18:16:13:19,1453.40,18,16,13,19,110.10,25.72,7.00,46.38,1,1,0,0,0,0,1,0,0,1,1,1,0,0,2,2,2,
18:16:13:14,1949.99,18,16,13,14,108.39,25.32,7.00,44.50,1,1,1,1,0,0,0,1,1,0,0,1,0,0,2,3,2,
18:16:13:13,1899.54,18,16,13,13,109.93,25.69,7.00,43.74,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,5,1,
18:16:13:16,1395.80,18,16,13,16,109.33,25.54,7.00,45.10,0,4,0,2,0,0,1,0,0,1,1,1,0,0,5,4,1,
18:16:13:15,1496.22,18,16,13,15,110.92,25.92,7.00,44.69,0,2,1,1,0,1,0,0,1,0,1,0,1,1,7,1,1,
20:20:13:13,1263.02,20,20,13,13,123.70,28.90,7.00,44.07,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,4,2,
20:20:13:14,1210.79,20,20,13,14,122.09,28.53,7.00,44.12,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,2,4,
20:20:13:11,1206.55,20,20,13,11,123.08,28.76,7.00,42.97,1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,6,1,
20:20:13:12,1214.15,20,20,13,12,126.18,29.48,7.00,43.52,1,0,1,2,0,1,0,0,0,1,1,1,0,0,0,7,1,
20:20:13:17,1267.21,20,20,13,17,121.29,28.34,7.00,45.66,0,1,1,2,0,1,0,0,1,0,0,0,1,0,1,5,1,
20:20:13:18,1226.41,20,20,13,18,125.87,29.41,7.00,46.07,1,1,0,0,1,0,0,0,0,1,0,1,1,0,2,3,1,
17:15:16:20,2117.80,17,15,16,20,106.62,24.91,8.00,48.12,0,1,0,0,0,1,2,1,1,0,0,1,0,2,3,3,3,
20:20:13:15,1216.97,20,20,13,15,124.53,29.10,7.00,44.60,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,4,2,
20:20:13:16,1266.44,20,20,13,16,122.00,28.50,7.00,45.28,1,1,0,0,2,0,0,0,0,1,0,1,1,0,3,2,2,
15:12:7:20,3166.04,15,12,7,20,92.94,23.00,4.00,47.03,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,
20:19:4:10,1049.13,20,19,4,10,119.61,27.95,3.00,42.57,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,4,
20:19:4:11,1050.63,20,19,4,11,119.74,27.98,3.00,42.82,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,
20:19:4:12,1053.43,20,19,4,12,119.58,27.94,3.00,43.43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,
20:19:4:13,1712.50,20,19,4,13,119.64,27.95,3.00,43.66,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,
20:19:4:14,1106.74,20,19,4,14,119.36,27.89,3.00,44.16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,
18:16:13:20,2013.89,18,16,13,20,108.81,25.42,7.00,46.82,1,1,1,0,2,0,0,0,1,1,0,1,1,0,4,3,2,
19:19:9:4,1082.49,19,19,9,4,118.23,27.62,5.00,39.67,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,
19:19:9:3,1080.78,19,19,9,3,118.48,27.68,5.00,39.25,1,2,0,0,0,1,1,1,1,0,0,0,0,0,3,4,0,
13:6:11:20,4027.53,13,6,11,20,78.49,18.34,6.00,51.42,1,1,0,0,0,0,2,0,1,0,1,0,0,1,2,0,5,
19:19:9:6,1137.04,19,19,9,6,118.14,27.60,5.00,40.60,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3,0,
19:19:9:5,1135.15,19,19,9,5,117.88,27.54,5.00,40.31,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,1,
19:19:9:8,1142.06,19,19,9,8,118.33,27.65,5.00,41.55,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,3,0,
19:19:9:7,1090.12,19,19,9,7,118.88,27.78,5.00,40.99,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,
15:11:13:20,2787.16,15,11,13,20,94.45,22.07,7.00,53.04,0,1,0,2,1,0,0,0,1,0,0,1,1,0,3,1,3,
20:19:9:9,1145.09,20,19,9,9,119.24,27.86,5.00,41.87,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,
19:19:9:9,1142.37,19,19,9,9,117.48,27.45,5.00,41.88,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,3,0,
20:19:9:8,1094.51,20,19,9,8,120.02,28.04,5.00,41.51,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,1,
20:19:9:7,1091.22,20,19,9,7,119.30,27.87,5.00,41.08,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,2,0,
18:15:13:19,2058.81,18,15,13,19,106.75,24.94,7.00,46.71,0,5,0,0,0,1,1,0,0,0,0,0,0,0,3,0,4,
15:12:7:19,3161.81,15,12,7,19,92.84,22.63,4.00,46.43,0,0,0,0,0,0,0,1,3,1,0,0,1,0,3,1,2,
18:15:13:18,2664.30,18,15,13,18,107.78,25.18,7.00,46.17,2,1,0,0,0,0,0,0,0,1,0,2,0,0,1,2,3,
18:15:13:17,2057.68,18,15,13,17,108.20,25.28,7.00,45.67,1,1,1,0,1,1,1,0,0,0,1,1,0,0,6,2,0,
18:15:13:16,1442.96,18,15,13,16,107.49,25.12,7.00,45.10,1,1,1,0,0,0,0,0,0,1,1,1,0,0,2,2,2,
18:15:13:15,1997.16,18,15,13,15,107.08,25.02,7.00,44.90,1,0,0,0,0,2,1,1,0,0,0,0,2,0,0,4,3,
18:16:13:8,1330.16,18,16,13,8,111.18,25.98,7.00,41.40,1,0,0,2,4,0,0,0,0,1,1,0,0,0,4,3,2,
18:15:13:13,1992.37,18,15,13,13,107.01,25.00,7.00,43.98,1,0,0,2,5,0,0,0,0,1,1,0,0,0,4,4,2,
18:16:13:7,1375.75,18,16,13,7,109.41,25.56,7.00,41.06,0,4,0,2,0,0,1,0,0,0,1,1,0,0,4,4,1,
18:15:13:10,1329.75,18,15,13,10,107.48,25.11,7.00,42.47,1,1,0,1,1,1,0,0,0,1,0,0,1,0,3,3,1,
14:9:9:16,3243.29,14,9,9,16,87.08,20.35,5.00,45.29,1,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,3,
14:9:9:17,3244.13,14,9,9,17,86.95,20.32,5.00,45.50,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3,
15:11:13:18,3352.08,15,11,13,18,93.82,21.92,7.00,45.89,2,2,0,0,1,0,1,0,1,0,0,0,1,0,3,3,2,
15:11:13:15,2738.48,15,11,13,15,93.45,21.83,7.00,44.87,1,1,0,1,0,1,0,1,0,0,0,1,0,0,3,1,2,
15:11:13:19,3356.12,15,11,13,19,93.52,21.85,7.00,46.50,2,2,0,0,1,0,1,0,1,0,0,0,1,0,3,3,2,
17:14:13:9,1979.86,17,14,13,9,102.19,23.88,7.00,42.22,2,1,0,1,0,0,1,0,0,0,1,0,0,0,2,3,1,
14:9:9:20,3259.33,14,9,9,20,88.19,20.61,5.00,47.59,1,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,4,
18:15:13:20,2023.40,18,15,13,20,108.16,25.27,7.00,48.10,0,0,0,2,0,0,1,0,0,0,1,1,0,1,1,4,1,
14:9:9:18,3247.66,14,9,9,18,87.08,20.35,5.00,46.08,1,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,4,
20:20:1:1,880.03,20,20,1,1,121.99,28.50,1.00,38.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20:20:11:20,1187.95,20,20,11,20,130.45,30.48,6.00,46.95,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,6,0,
14:9:7:11,3134.01,14,9,7,11,87.72,20.50,4.00,43.15,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,0,2,
15:10:13:20,2655.60,15,10,13,20,90.61,21.17,7.00,48.33,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,4,
20:20:11:18,1221.71,20,20,11,18,122.42,28.60,6.00,46.21,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,4,0,
