Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
20:20:7:14,1066.01,20,20,7,14,125.59,29.34,4.00,44.08,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,4,1,
18:16:4:19,2427.05,18,16,4,19,109.82,25.66,3.00,46.34,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,
20:20:7:15,1068.43,20,20,7,15,125.39,29.30,4.00,44.63,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,
20:20:7:10,1050.69,20,20,7,10,121.52,28.39,4.00,42.28,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,5,0,
20:20:7:11,1056.67,20,20,7,11,123.63,28.88,4.00,42.82,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,
18:16:4:20,2431.04,18,16,4,20,109.72,25.64,3.00,46.93,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,
17:15:13:7,1931.66,17,15,13,7,106.28,24.83,7.00,41.30,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,4,2,
17:15:13:9,1985.61,17,15,13,9,106.70,24.93,7.00,42.02,0,3,0,0,0,1,1,0,0,1,1,0,1,0,5,3,0,
17:15:13:8,1978.52,17,15,13,8,106.12,24.79,7.00,41.48,1,0,0,2,4,1,0,0,0,1,1,0,0,0,4,4,2,
15:10:11:13,2631.42,15,10,11,13,92.60,21.63,6.00,43.73,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,2,
15:10:11:17,2640.09,15,10,11,17,90.17,21.07,6.00,45.43,0,0,0,1,2,1,0,1,0,0,1,1,0,0,1,2,4,
15:10:11:16,2640.54,15,10,11,16,91.39,21.35,6.00,45.19,0,0,0,2,1,1,0,0,0,1,0,1,2,1,2,4,3,
15:10:11:15,2640.64,15,10,11,15,91.63,21.41,6.00,44.91,1,1,0,0,0,0,2,0,1,1,0,1,0,0,4,0,3,
20:19:7:9,1046.78,20,19,7,9,119.28,27.87,4.00,42.20,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,
15:10:11:14,3292.43,15,10,11,14,92.79,21.68,6.00,44.09,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,2,3,
16:13:11:6,1920.14,16,13,11,6,100.31,23.44,6.00,40.86,2,1,0,0,1,0,1,0,1,0,0,0,1,0,3,2,2,
20:20:7:20,1134.54,20,20,7,20,126.42,29.54,4.00,47.53,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,
15:10:11:19,2653.08,15,10,11,19,92.25,21.55,6.00,46.67,1,0,0,1,1,0,1,0,0,0,0,0,1,1,2,2,2,
15:10:11:18,2646.62,15,10,11,18,91.63,21.41,6.00,46.28,0,1,0,2,1,0,0,0,1,0,0,1,1,0,3,1,3,
14:9:16:18,3441.35,14,9,16,18,88.40,20.65,8.00,45.91,0,1,1,1,0,2,0,0,1,0,2,0,1,0,4,2,3,
15:10:11:20,2600.61,15,10,11,20,90.94,21.25,6.00,47.12,0,1,0,1,1,0,0,0,0,0,1,0,1,1,2,2,2,
14:9:16:20,4174.66,14,9,16,20,88.15,20.60,8.00,50.14,0,1,1,1,0,2,0,0,1,0,2,0,1,1,5,2,3,
18:17:11:9,1283.43,18,17,11,9,111.83,26.13,6.00,41.85,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3,2,0,
18:17:11:8,1281.75,18,17,11,8,111.33,26.01,6.00,41.67,0,2,0,1,0,0,1,1,0,1,0,0,0,0,3,3,0,
18:17:11:7,1228.43,18,17,11,7,111.33,26.01,6.00,41.00,0,2,0,1,0,0,1,1,0,1,0,0,0,0,3,3,0,
18:17:11:6,1229.32,18,17,11,6,112.74,26.34,6.00,40.74,1,1,1,0,0,0,0,2,0,1,1,0,1,1,3,2,4,
