Dimensions,7
Normalised,20
evals,500
key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
18:11:14:3:1:2:20,9471.43,18,11,14,3,1,2,20,105.83,19.00,71.62,11.00,5.00,8.00,13738023.00,S1C46SC44SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC57SC58SC59SC60SC61SC62SC63SD16C5BD17C69ED21C18WD21C25WD15C68ED15C31ED20C4BC20BD22C65ED10C73BD9C74BD9C34WC35WD3C70BD7C2BD6C3BD5C64ED28C30ED28C48WC29WC28WC49WC27WC26WC56WD27C72WC1WD14C67ED14C19BC21BC22BC23BC24BC12BC17BC16BC15BC13BC14BC40BC39BC38BC36BC37BC41BC42BC43BC45BD1C71BD18C47BD12C66BD19C32EC33E
19:6:9:1:1:2:19,6221.22,19,6,9,1,1,2,19,107.23,11.00,45.95,3.00,2.00,6.00,11520067.00,S1C30SC48SC29SC28SC49SC27SC26SC38SC39SC41SC42SC43SC46SC45SC44SC40SC37SC6SC7SC9SC10SC11SC8SC13SC14SC15SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C18BD17C72ED13C47WC32WC33WC34WC35WC36WD12C69EC73EC65EC66EC71ED21C3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC12BC17BC16BD15C68ED33C67BC70BD22C74ED10C31ED3C1WD5C64E
19:5:15:1:1:1:19,2756.39,19,5,15,1,1,1,19,110.45,8.00,72.97,5.00,4.00,1.00,11390485.00,S1C38SC39SC41SC42SC40SC37SC44SC6SC7SC9SC10SC11SC8SC13SC14SC15SC51SC62SC63SC61SD20C66BC73BD22C70WD12C30BC48BC29BC43BC45BC46BC57BC58BC59BC60BC56BC26BC27BC49BC28BC55BC54BC53BC52BC50BD19C71BC72BC74BC64BD19C31WC47WC32WC33WC34WC35WD14C36WD2C1WC18WD7C3BC4BC20BC19BC25BC2BC21BC22BC5BC23BC24BC12BC17BC16BD29C65BD29C68EC67EC69E
19:5:15:1:1:1:17,4767.20,19,5,15,1,1,1,17,110.94,9.00,74.32,4.00,1.00,4.00,10668711.00,S1C42SC44SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC24SC51SC62SC63SC61SD17C69ED15C41ED19C67EC73EC65EC66EC71EC72EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30ED18C33WC34WC35WC36WC37WC38WC39WC40WD24C48BC29BC43BC45BC46BC57BC58BC59BC60BC56BC26BC27BC49BC28BC55BC54BC53BC52BC50BD22C70BD26C74BD7C64BD32C68E
17:9:18:3:1:1:20,7091.22,17,9,18,3,1,1,20,95.84,15.00,89.19,11.00,2.00,5.00,14156514.00,S1C62SC63SC56SC57SC58SC59SC60SC61SD16C25BD21C21BC22BC24BD22C5BC23BD22C30EC48EC29EC28ED23C71BD23C31BD24C72BC67BD9C3BC4BD14C68EC69ED14C47BC32BD1C1WC2WC20WD19C34EC35EC36ED30C37EC39EC41EC42EC43EC46EC45EC44EC40EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC49EC27EC26EC51EC50EC52EC53EC54EC55ED35C18BD29C33BD6C19BD4C64EC74EC70EC73EC65EC66ED27C38W
16:5:16:1:1:2:20,6060.18,16,5,16,1,1,2,20,91.61,8.00,82.43,1.00,1.00,6.00,12053860.00,S1C50SC52SC62SC63SC61SC12SC14SC6SC7SC9SC10SC11SC8SD16C44ED10C51ED9C24WC17WC16WC15WC13WD3C73EC65EC66EC69EC71ED5C74ED28C70EC72EC68EC67EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26ED26C64ED23C33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BC56BC55BC54BC53B
19:5:15:1:1:1:20,3115.48,19,5,15,1,1,1,20,108.02,8.00,74.32,1.00,5.00,2.00,12460137.00,S1C44SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC24SC51SC50SC62SC63SC61SD16C35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BC56BC26BC27BC55BC54BC53BC52BD24C72WD9C64WD14C71EC73EC65EC74EC70EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49ED18C33WD20C66WD5C34WD35C68EC67EC69E
20:4:9:2:1:1:10,2558.00,20,4,9,2,1,1,10,122.56,7.00,45.95,6.00,1.00,1.00,7420840.00,S1C30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC25SC20SC19SC2SC21SC22SC23SC4SC24SC44SC51SC50SC52SC53SC54SC55SC56SC61SC62SC63SD17C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD8C74BC70BD2C64WD7C73BD4C71BD4C72EC69EC68EC1EC18EC3ED26C65BD29C66BC67B
2:3:20:1:1:1:17,3520.75,2,3,20,1,1,1,17,13.88,5.00,100.00,1.00,2.00,3.00,10652191.00,S1D10C72WC71WD10C31BC47BC32BC33BC34BC35BC36BC37BC38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BD6C64EC74EC70EC73EC65EC66ED28C69EC68EC67EC1ED14C30EC48EC29EC28EC49EC27EC26EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC5EC25EC20EC19EC2EC21EC22EC23EC4EC24EC44EC51EC50EC52EC53EC54EC55EC56EC61EC62EC63ED1C18WC3W
2:3:20:1:1:1:18,3334.34,2,3,20,1,1,1,18,11.50,5.00,100.00,0.00001,2.00,3.00,10857549.00,S1D16C69EC73EC65EC66EC71ED17C30EC48EC29EC28EC49EC27EC26EC36EC37EC38EC39EC41EC42EC43EC46EC45EC44EC40EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC5EC24EC20EC19EC2EC21EC22EC23EC51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63ED22C70WD9C74EC72EC64EC68EC67EC1EC18EC3EC4EC25ED1C31WC47WC32WC33WC34WC35W
20:9:8:2:1:3:19,10647.66,20,9,8,2,1,3,19,120.91,16.00,41.89,7.00,5.00,10.00,11448193.00,S1C48SC29SC28SC49SC27SC26SC38SC39SC41SC42SC43SC46SC45SC44SC40SC37SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC22SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C71ED16C32BD17C69ED13C1ED21C5WC23WC24WD21C30ED21C21WD15C31EC47ED15C34BD20C20BC19BD23C33ED10C73ED10C66WD9C2BD2C25WD1C18BC3BC4BD7C36BD6C65BD4C64WC72WD27C74EC70ED33C68EC67ED33C35E
19:3:4:2:1:1:8,2435.33,19,3,4,2,1,1,8,110.68,6.00,21.62,6.00,0.00001,1.00,6396140.00,S1C47SC32SC33SC34SC35SC36SC37SC38SC39SC41SC42SC43SC46SC45SC44SC40SC30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC25SC20SC19SC2SC21SC22SC23SC24SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD17C69EC68EC1EC18EC3EC4ED10C74BC70BD10C31BD8C71BC72BD2C64BC73BD6C66BC67BD22C65B
19:3:4:2:1:1:7,3126.41,19,3,4,2,1,1,7,112.20,6.00,20.27,6.00,0.00001,2.00,6307041.00,S1C31SC47SC32SC33SC34SC35SC36SC37SC38SC39SC41SC42SC43SC46SC45SC44SC40SC30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC25SC20SC19SC2SC21SC22SC23SC24SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD13C69EC68EC1EC18EC3EC4ED10C73BD25C66BC67BD25C65BD28C74BC70BD5C72BD5C64ED4C71B
