key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
20:6:5:2:1:2:9,5119.76,20,6,5,2,1,2,9,72.80,10.00,24.56,5.00,1.00,5.00,4325884.00,S1C3SC32SC6SC33SC36SC53SC44SC46SC47SC5SC34SC48SC4SC42SC43SC31SC30SC29SC41SC39SC40SC7SC16SC17SC18SC19SC20SC55SC57SC10SC22SC11SC54SC51SC52SC8SC9SC15SC14SC12SC21SC37SC38SD30C45ED19C2BC49BD10C27BC13BC56BD8C26BD2C35ED14C1ED6C28BD6C25ED5C24BD4C23WD13C50E
15:3:16:1:1:1:7,3454.76,15,3,16,1,1,1,7,53.96,6.00,78.95,4.00,0.00001,3.00,3940061.00,S1C45SC46SC35SC54SC8SC9SC13SC14SC12SC21SC44SC7SD33C53BC39BD18C1EC50EC25EC11ED9C52BC51BC56BD26C24BC26BD35C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BC23BD32C38EC37EC6EC33EC3EC32EC36EC41EC40ED32C4EC5EC34EC48EC2EC49EC47EC42EC43EC31EC30EC29EC28EC27E
13:5:19:2:1:1:2,3655.06,13,5,19,2,1,1,2,46.44,9.00,92.98,6.00,0.00001,3.00,2421590.00,S1C43SC40SC44SC7SD16C35BC1BC49BD21C50EC31EC30EC29EC28EC27EC25EC23EC2ED23C54EC15EC16EC17EC18EC19EC45EC46EC47EC5EC34EC48EC4EC42ED25C8BC9BD28C10BC22BC55BC57BC20BC21BC11BD7C24BC26BD4C52BC51BC56BD8C13BC14BC12BD31C38EC37EC6EC33EC3EC32EC36EC53EC41EC39E
18:5:13:1:1:1:11,2864.93,18,5,13,1,1,1,11,63.64,8.00,64.91,4.00,3.00,2.00,5017147.00,S1C48SC47SC42SC43SC41SC40SC45SC46SC44SC7SC8SC9SC51SC52SC56SC21SC54SC13SC14SC12SD13C31BC30BC29BC28BD12C35WC34WD19C2BC49BD35C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BC23BD31C37BC53BC39BD31C38WC36WD2C1ED4C11WD5C24EC26EC25EC27EC50EC3EC32EC6EC33EC4EC5E
19:4:5:1:2:1:8,1853.27,19,4,5,1,2,1,8,69.06,7.00,22.81,1.00,5.00,1.00,4026893.00,S1C50SC31SC30SC29SC28SC25SC3SC32SC6SC33SC36SC53SC41SC39SC40SC45SC46SC47SC5SC34SC48SC4SC42SC43SC44SC37SC38SC7SC18SC19SC20SC55SC57SC10SC54SC51SC52SC56SC8SC9SC13SC14SC12SC21SD16C35WD3C24WC26WC27WD14C1ED19C2BC49BD35C15WC16WC17WD27C22WC11WD26C23W
19:4:5:1:2:1:9,1854.34,19,4,5,1,2,1,9,68.14,7.00,22.81,1.00,5.00,1.00,4361435.00,S1C50SC31SC30SC29SC28SC25SC3SC32SC6SC33SC36SC53SC41SC39SC40SC45SC46SC47SC5SC34SC48SC4SC42SC43SC44SC37SC38SC7SC18SC19SC20SC55SC57SC10SC54SC51SC52SC56SC8SC9SC13SC14SC12SC21SD16C35WD3C24WC26WC27WD4C23WD14C1ED19C2BC49BD35C15WC16WC17WD27C22WC11W
16:14:17:3:3:6:2,14329.63,16,14,17,3,3,6,2,56.28,25.00,85.96,9.00,8.00,16.00,2499802.00,S1C46SC16SC17SC18SC19SC20SC21SC15SD16C40ED16C29EC28EC27EC2EC49EC3EC32EC6EC33EC4EC5EC34EC48EC47ED17C35WD13C50ED21C31BC30BD15C53ED19C41EC39ED30C44WD30C45ED24C13BD22C9ED23C57ED23C14WC12WD11C54ED10C51BD9C52BD3C24ED3C56BD3C8BD7C11WD6C55ED5C10BD25C26BD28C23WD27C25ED26C22WD14C7ED1C1BD1C42ED31C43ED31C37WD32C36WD32C38E
15:3:14:1:1:2:5,4693.45,15,3,14,1,1,2,5,54.03,6.00,70.18,1.00,1.00,5.00,3304036.00,S1C40SC45SC46SC44SC7SC8SC9SC51SC52SC56SC22SC11SC54SC21SC13SC14SC12SD16C15BC16BC17BC18BC19BC20BC55BC57BD10C26EC25EC23EC28EC27EC29EC50ED10C24ED25C10ED2C35WD1C1EC2EC49EC4EC5EC34EC48EC47EC42EC43EC31EC30ED32C38EC37EC6EC33EC3EC32EC36EC53EC41EC39E
15:3:14:1:1:2:4,4712.16,15,3,14,1,1,2,4,53.19,6.00,71.93,1.00,1.00,5.00,3043989.00,S1C13SC19SC45SC46SC47SC5SC34SC48SC4SC42SC43SC40SC44SC37SC38SC7SD17C2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED17C15BC14BC12BC9BD9C35ED8C1ED4C24EC26EC25EC23EC28EC27EC30EC31EC50EC29ED26C10EC22EC55EC57EC20EC21EC11EC54EC51EC52EC56EC8ED29C16WC17WC18W
18:3:7:1:1:2:7,4776.69,18,3,7,1,1,2,7,65.08,6.00,35.09,2.00,1.00,5.00,3841435.00,S1C50SC31SC30SC29SC27SC34SC48SC4SC5SC47SC42SC43SC44SC46SC40SC7SC16SC17SC18SC19SC20SC55SC57SC10SC22SC11SC54SC51SC52SC8SC9SC15SC14SC12SC21SC37SC38SD23C28BC13BC56BD25C26ED3C24ED4C25ED4C23WD18C1BC35BD18C2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED30C45E
